permalink,name,homepage_url,category_code, funding_total_usd ,status,country_code,state_code,region,city,funding_rounds,founded_at, founded_month ,founded_quarter,founded_year,first_funding_at,last_funding_at,last_milestone_at,overview,tag_list,image1,image2,image3,number_of_employees,office_latitude,office_longitude
/company/the-editorialist,The Editorialist,http://editorialist.com,ecommerce,"2,000,000",operating,,,unknown,,1,12/31/08, 2013-01 ,2013-Q1,2013,10/16/09,10/16/09,,,,,,,,,
/company/the-electric-sheep,The Electric Sheep,http://www.electricsheepcompany.com,advertising,"7,000,000",operating,USA,NY,New York,New York,1,4/16/01, 2005-04 ,2005-Q2,2005,2/25/03,2/25/03,,,,,,,,,
/company/the-electrospinning-company,The Electrospinning Company,http://www.electrospinning.co.uk,nanotech,"410,737",operating,GBR,,Oxon,Oxon,1,,,,,3/18/07,3/18/07,,,,,,,,,
/company/the-etailers,The Etailers,http://www.theetailers.com,consulting,"502,640",operating,ESP,,Distrito,Distrito 22,1,,,,,5/27/08,5/27/08,,,,,,,,,
/company/the-extraordinaries,The Extraordinaries,http://www.BeExtra.org,mobile,"1,100,000",operating,USA,CA,SF Bay,San Francisco,1,6/30/05, 2009-07 ,2009-Q3,2009,5/3/06,5/3/06,,,,,,,,,
/company/the-eye-tribe,The Eye Tribe,http://www.theeyetribe.com,software,"4,100,000",operating,DNK,,Copenhagen S,Copenhagen S,3,9/26/07, 2011-09 ,2011-Q3,2011,8/15/08,1/7/10,1/7/10,,,,,,,,
/company/the-fab-shoes,The Fab Shoes,http://www.thefabshoes.com,ecommerce,,acquired,ESP,,hospitalet de llobregat,hospitalet de llobregat,2,2/29/08, 2012-03 ,2012-Q1,2012,1/31/08,7/31/08,2/29/08,,,,,,,,
/company/the-fabric,The Fabric,http://www.thefabricnet.com,network_hosting,"10,500,000",operating,USA,CA,SF Bay,Palo Alto,1,12/31/07, 2012-01 ,2012-Q1,2012,11/2/09,11/2/09,,,,,,,,,
/company/fanfare-group,The Fanfare Group,http://www.fanfaresoftware.com,enterprise,"34,085,228",acquired,USA,CA,SF Bay,Mountain View,4,12/31/99, 2004-01 ,2004-Q1,2004,12/31/00,12/2/05,12/31/02,,,,,,,,
/company/the-feedroom,The FeedRoom,http://www.feedroom.com,public_relations,"69,300,000",acquired,USA,NY,New York,New York,7,8/31/95, 1999-09 ,1999-Q3,1999,8/21/96,7/8/04,12/4/05,,,,,,,,
/company/thefilter,The Filter,http://www.thefilter.com,software,"9,700,000",operating,GBR,,Bath,Bath,3,12/31/99, 2004-01 ,2004-Q1,2004,4/30/02,2/17/05,11/5/09,,,,,,,,
/company/the-finance-scholar,The Finance Scholar,http://thefinancescholar.com,software,,operating,,,unknown,,1,12/31/06, 2011-01 ,2011-Q1,2011,10/6/07,10/6/07,,,,,,,,,
/company/the-fizzback-group,The Fizzback Group,http://www.fizzback.com,ecommerce,"5,000,000",acquired,GBR,,London,London,1,12/31/00, 2005-01 ,2005-Q1,2005,2/28/03,2/28/03,7/14/04,,,,,,,,
/company/the-float-yard,The Float Yard,http://www.floatapp.com,software,"166,678",operating,GBR,,Edinburgh,Edinburgh,1,10/6/06, 2010-10 ,2010-Q4,2010,9/10/09,9/10/09,9/1/09,,,,,,,,
