permalink,name,homepage_url,category_code, funding_total_usd ,status,country_code,state_code,region,city,funding_rounds,founded_at, founded_month ,founded_quarter,founded_year,first_funding_at,last_funding_at,last_milestone_at
/company/efficient-power-conversion,Efficient Power Conversion,http://epc-co.com,hardware,"7,500,000",operating,USA,CA,Los Angeles,El Segundo,1,,,,,3/10/10,3/10/10,
/company/efficient-v,Efficient-V,,,"20,000",operating,USA,OR,TBD,GLADSTONE,1,,,,,1/20/09,1/20/09,
/company/efficity,EffiCity,http://www.efficity.com,real_estate,"5,332,740",operating,FRA,,Paris,Paris,1,1/1/07, 2007-01 ,2007-Q1,2007,9/8/10,9/8/10,
/company/effortless-energy,Effortless Energy,http://goeffortless.com,,,operating,USA,IL,Chicago,Chicago,1,1/1/12, 2012-01 ,2012-Q1,2012,8/7/12,8/7/12,
/company/effrx-pharmaceuticals,EffRx Pharmaceuticals,http://effrx.com,biotech,"7,590,940",operating,CHE,,unknown,8807 Freienbach,1,1/1/98, 1998-01 ,1998-Q1,1998,10/1/13,10/1/13,
/company/efield,Efield,http://www.efieldsolutions.com,software,"602,000",operating,SWE,,Kista,Kista,1,,,,,4/26/06,4/26/06,
/company/efinancial-communications,eFinancial Communications,http://www.efinancialcommunications.com,public_relations,,operating,USA,CA,San Diego,San Diego,1,2/1/12, 2012-02 ,2012-Q1,2012,1/1/13,1/1/13,
/company/efizity,Efizity,http://www.efizity.com,cleantech,"40,000",operating,CHL,,Santiago,Santiago,1,1/1/10, 2010-01 ,2010-Q1,2010,12/28/11,12/28/11,
/company/eflow,eflow,http://www.eflowglobal.com,enterprise,"649,000",operating,GBR,,London,London,1,1/1/04, 2004-01 ,2004-Q1,2004,5/27/08,5/27/08,
/company/efolder,eFolder,http://www.efolder.net,other,"26,000,002",operating,USA,GA,Atlanta,Atlanta,1,1/1/02, 2002-01 ,2002-Q1,2002,9/30/13,9/30/13,7/15/13
