,company_permalink,company_name,company_category_code,company_country_code,company_state_code,company_region,company_city,investor_permalink,investor_name,investor_category_code,investor_country_code,investor_state_code,investor_region,investor_city,funding_round_type,funded_at,funded_month,funded_quarter,funded_year, raised_amount_usd ,overview,tag_list,image1,image2,image3,number_of_employees,office_latitude,office_longitude
0,/company/tokita-investments,Tokita Investments,consulting,JPN,,TBD,Okinawa Ken,/company/01startups,01Startups,,,,unknown,,angel,9/26/13,2013-09,2013-Q3,2013,"5,000","<p>Expanding into foreign markets is always a challenge, but it does not need to be hard. Especially when you have someone you can count on. The first and most prominent problem that companies find is the language barrier. In almost all operations, communication is one of the most important keys to success. The efficiency and accuracy of communication has the ability to make or break the entire project. Whether it may be translation, our advisory services, or simply someone to show you around town, we are here to be your best friends in Japan. Our professional network and native bilingual staff is always here to help you overcome any hurdles and questions that may arise.</p>",,http://api-images.crunchbase.com/assets/images/resized/0036/3287/363287v2-max-150x150.png,http://api-images.crunchbase.com/assets/images/resized/0036/3287/363287v2-max-250x250.png,http://api-images.crunchbase.com/assets/images/resized/0036/3287/363287v2-max-450x450.png,,,
1,/company/advercar,AdverCar,advertising,USA,CA,SF Bay,San Francisco,/company/1-800-flowers-com,1-800-FLOWERS.COM,ecommerce,USA,NY,New York,New York,series-a,10/30/12,2012-10,2012-Q4,2012,"2,000,000","<p>adverCar extends the reach of your out of home efforts and bursts the “media-free bubble” that has become the ‘drive time commute’ by delivering your message on an eye level medium that can’t be turned off, fast forwarded or ignored. We enable you to target neighbourhoods, commuter routes, and shopping centers within a specific zip code, region or DMA. You now have the ability to saturate entire markets in a way you couldn’t before by cost effectively renting space on the sides of GPS tracked adverCar fleets delivering you a more dynamic, accountable Out of Home media choice.</p>","cars, advertising",http://api-images.crunchbase.com/assets/images/resized/0021/8122/218122v1-max-150x150.png,http://api-images.crunchbase.com/assets/images/resized/0021/8122/218122v1-max-250x250.png,http://api-images.crunchbase.com/assets/images/resized/0021/8122/218122v1-max-450x450.png,,37.7981213,-122.4031446
2,/company/launchgram,LaunchGram,news,USA,CA,SF Bay,Mountain View,/company/10xelerator,10Xelerator,finance,USA,OH,Columbus,Columbus,other,1/23/12,2012-01,2012-Q1,2012,"20,000","<p>LaunchGram is makes it ridiculously easy for consumers to stay updated on movies, TV shows, &amp; video games before they’re released. </p>
<p>Before each movie, TV show, or video game is released, there are release dates, season premiere announcement, trailer releases, image leaks, and plot details that we all love to consume. With LaunchGram, you can choose which movies, TV shows, &amp; video games you care about and have the juicy details sent right to you. </p>",,http://api-images.crunchbase.com/assets/images/resized/0017/2199/172199v10-max-150x150.jpg,http://api-images.crunchbase.com/assets/images/resized/0017/2199/172199v10-max-250x250.jpg,http://api-images.crunchbase.com/assets/images/resized/0017/2199/172199v10-max-450x450.jpg,3,,
3,/company/utap,uTaP,messaging,USA,OH,Columbus,Columbus,/company/10xelerator,10Xelerator,finance,USA,OH,Columbus,Columbus,other,1/1/12,2012-01,2012-Q1,2012,"20,000","<p>uTap allows university students a revolutionary way to communicate with each other!</p>
<p>Post a message to a desired range, and any user within that radius will be able to tap, comment, or privately respond to your message.</p>
<p>Without the need for friending or following, users receive the most:</p>
<p>-timely
-relavent
and -nearby information and deals.</p>
<p>Networking with those around you has never been simpler!</p>
<p>The framework is simple, safe, fast, and most of all–highly effective.</p>
<p>Never before have you had the ability to target an audience with the control uTap provides.</p>",,http://api-images.crunchbase.com/assets/images/resized/0017/8624/178624v2-max-150x150.jpg,http://api-images.crunchbase.com/assets/images/resized/0017/8624/178624v2-max-250x250.jpg,http://api-images.crunchbase.com/assets/images/resized/0017/8624/178624v2-max-450x450.jpg,4,,
4,/company/zoopshop,ZoopShop,software,USA,OH,Columbus,columbus,/company/10xelerator,10Xelerator,finance,USA,OH,Columbus,Columbus,angel,2/15/12,2012-02,2012-Q1,2012,"20,000","<p>ZoopShop is developing portable online stores that can be embedded on any number of web-pages, just like a YouTube Video.</p>","ecommerce, social-commerce, commerce, social-media-marketing, facebook-commerce",http://api-images.crunchbase.com/assets/images/resized/0018/0875/180875v2-max-150x150.png,http://api-images.crunchbase.com/assets/images/resized/0018/0875/180875v2-max-250x250.png,http://api-images.crunchbase.com/assets/images/resized/0018/0875/180875v2-max-450x450.png,,,
5,/company/efuneral,eFuneral,web,USA,OH,Cleveland,Cleveland,/company/10xelerator,10Xelerator,finance,USA,OH,Columbus,Columbus,other,9/8/11,2011-09,2011-Q3,2011,"20,000","<p>eFuneral is a comprehensive online resource for those thinking about end-of-life. Our funeral home comparison tool is the first of its kind, offering pricing information and more funeral home reviews than any other website. We’re bringing transparency to funeral planning and enabling funeral planners to find, compare, and select the best funeral home for their budget. </p>
<p>Launched in 2011, eFuneral is a graduate of the inaugural 10xelerator class.</p>","funeral, death-care, funeral-homes, funeral-planning",http://api-images.crunchbase.com/assets/images/resized/0015/1926/151926v6-max-150x150.png,http://api-images.crunchbase.com/assets/images/resized/0015/1926/151926v6-max-250x250.png,http://api-images.crunchbase.com/assets/images/resized/0015/1926/151926v6-max-450x450.png,5,,
6,/company/tackk,Tackk,web,USA,OH,Cleveland,Cleveland,/company/10xelerator,10Xelerator,finance,USA,OH,Columbus,Columbus,angel,4/10/12,2012-04,2012-Q2,2012,,"<p>Tackk allows anyone, to create anything, and share it anywhere. There is no software to download, no login required, nothing to join + no special design or development skills needed. In fact, those who have used Tackk, literally call it “ridiculously simple.” And we agree.</p>
<p>Simply visit the Tackk home page and start typing. Tackk about that bike you have for sale. Tackk about your engagement or your new baby. Tackk about your band’s upcoming gig. Tackk about your vacation. You can Tackk about anything.</p>",,http://api-images.crunchbase.com/assets/images/resized/0020/8554/208554v10-max-150x150.png,http://api-images.crunchbase.com/assets/images/resized/0020/8554/208554v10-max-250x250.png,http://api-images.crunchbase.com/assets/images/resized/0020/8554/208554v10-max-450x450.png,11,41.4994954,-81.6954088
7,/company/acclaimd,Acclaimd,analytics,USA,OH,Columbus,Columbus,/company/10xelerator,10Xelerator,finance,USA,OH,Columbus,Columbus,angel,6/1/12,2012-06,2012-Q2,2012,"20,000","<p>Acclaimd is a Columbus, Ohio company that provides corporate and contract recruiters web-based tools for more effectively marketing jobs to qualified talent or connectors to talent.</p>
<p>Conceived at Startup Weekend Columbus in February 2012, Acclaimd has received financial backing and advisory services from Founders Factory and TechColumbus.  The team was accepted into the Summer 2012 10xelerator class and launched the Acclaimd SaaS product at 10x Showcase Day in September 2012.  It is currently in private beta with Columbus-area employers and recruiters.</p>","job-marketing, talent-acquisition, social-recruiting, talent-community, recruiting-software, recruiting, talent",http://api-images.crunchbase.com/assets/images/resized/0022/1281/221281v2-max-150x150.png,http://api-images.crunchbase.com/assets/images/resized/0022/1281/221281v2-max-250x250.png,http://api-images.crunchbase.com/assets/images/resized/0022/1281/221281v2-max-450x450.png,4,39.9978746,-83.0421228
8,/company/acceptd,Acceptd,software,USA,OH,Columbus,Dublin,/company/10xelerator,10Xelerator,finance,USA,OH,Columbus,Columbus,angel,6/1/11,2011-06,2011-Q2,2011,"20,000",<p>Acceptd was founded to better connect applicants with opportunity and streamline the recruiting and review process for decision makers. We believe the right opportunity should be accessible to any applicant regardless of geography or socio-economic status.</p>,,http://api-images.crunchbase.com/assets/images/resized/0027/5257/275257v1-max-150x150.png,http://api-images.crunchbase.com/assets/images/resized/0027/5257/275257v1-max-250x250.png,http://api-images.crunchbase.com/assets/images/resized/0027/5257/275257v1-max-450x450.png,,,
9,/company/prized,Prized,games_video,USA,,United States - Other,,/company/10xelerator,10Xelerator,finance,USA,OH,Columbus,Columbus,angel,8/10/13,2013-08,2013-Q3,2013,"20,000","<p>Prized is a mobile game rewards platform that seeks to unite players, developers, and advertisers under one common goal; getting rewarded. By allowing users to compete for real world prizes, developers see more engaged players while advertisers connect directly to interested consumers. Increasing all of these components leads to better performing ad units for both developers and advertisers and leaves players with a better gaming experience.   </p>",advertising--android--mobile-games,http://api-images.crunchbase.com/assets/images/resized/0031/0087/310087v6-max-150x150.png,http://api-images.crunchbase.com/assets/images/resized/0031/0087/310087v6-max-250x250.png,http://api-images.crunchbase.com/assets/images/resized/0031/0087/310087v6-max-450x450.png,4,,
